experiment_id,experiment_title,policy_name,policy_family,simulator_name,balls,bins,trials,weighted_balls,max_weight,workload_seed,allocation_seed,k,heap_size,average_load_mean,average_load_stddev,max_load_mean,max_load_stddev,cv_load_mean,cv_load_stddev,cost_per_ball_mean,cost_per_ball_stddev,total_cost_mean,total_cost_stddev,random_draw_cost_per_ball,load_read_cost_per_ball,compare_cost_per_ball,state_read_cost_per_ball,state_update_cost_per_ball,state_memory_cost_per_ball,heap_update_cost_per_ball,stateless_cost_per_ball,stateful_cost_per_ball,reference_type,reference_max_load,reference_cv_load,reference_note
07_final_tradeoff_weighted,Final tradeoff weighted,Power-4 weighted,stateless,PowerKSimulator,10000,16,30,true,10,42,1337,4,0,3440.33854693,15.0882950542,3446.36840894,15.3568140029,0.000900422701453,0.000174925627122,27,0,270000,0,4,20,3,0,0,0,0,27,0,weighted_average_lower_bound,3440.33854693,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
07_final_tradeoff_weighted,Final tradeoff weighted,Absolute minimum weighted,stateless,PowerKSimulator,10000,16,30,true,10,42,1337,16,0,3440.33854693,15.0882950542,3444.97935351,15.2252616106,0.000682730772142,0.000102896953318,111,0,1110000,0,16,80,15,0,0,0,0,111,0,weighted_average_lower_bound,3440.33854693,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
07_final_tradeoff_weighted,Final tradeoff weighted,Round-robin,round_robin,StatefulRoundRobinSimulator,10000,16,30,true,10,42,1337,0,0,3440.33854693,15.0882950542,3558.17903391,35.8129535449,0.0174865479565,0.00304507265834,2.0001,1.35504308498e-15,20001,0,0,0,0,1,1,0.0001,0,0,2.0001,weighted_average_lower_bound,3440.33854693,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
07_final_tradeoff_weighted,Final tradeoff weighted,Heap s=4,heap,HeapSizeSPowerOfKSimulator,10000,16,30,true,10,42,1337,2,4,3440.33854693,15.0882950542,3445.42533215,15.2614507481,0.000811859596194,0.000160825134412,29.38484,0.013937139666,293848.4,139.37139666,2,10,5,5,1.84611,0.0004,5.53833,17,12.38484,weighted_average_lower_bound,3440.33854693,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
07_final_tradeoff_weighted,Final tradeoff weighted,Heap s=8,heap,HeapSizeSPowerOfKSimulator,10000,16,30,true,10,42,1337,2,8,3440.33854693,15.0882950542,3445.01454586,15.1618276154,0.000687026570244,9.16003868155e-05,38.8928333333,0.0195712373991,388928.333333,195.712373991,2,10,9,9,1.77840666667,0.0008,7.11362666667,21,17.8928333333,weighted_average_lower_bound,3440.33854693,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
07_final_tradeoff_weighted,Final tradeoff weighted,Full heap,heap,HeapSizeSPowerOfKSimulator,10000,16,30,true,10,42,1337,0,16,3440.33854693,15.0882950542,3444.97935351,15.2252616106,0.000682730772142,0.000102896953318,7.0016,2.71008616996e-15,70016,0,0,0,0,1,1,0.0016,5,0,7.0016,weighted_average_lower_bound,3440.33854693,0,Average-load lower bound only; true weighted optimum requires partition/bin-packing
06_final_tradeoff_unweighted,Final tradeoff unweighted,Random,stateless,PowerKSimulator,10000,32,30,false,1,42,1337,1,0,312.5,0,349.133333333,11.4612791407,0.0535913412097,0.00855264512495,1,0,10000,0,1,0,0,0,0,0,0,1,0,unweighted_optimal,313,0.0016,Optimal unweighted allocation
06_final_tradeoff_unweighted,Final tradeoff unweighted,Power-2,stateless,PowerKSimulator,10000,32,30,false,1,42,1337,2,0,312.5,0,314.033333333,0.319841914975,0.00295886085952,0.000640965662115,13,0,130000,0,2,10,1,0,0,0,0,13,0,unweighted_optimal,313,0.0016,Optimal unweighted allocation
06_final_tradeoff_unweighted,Final tradeoff unweighted,Power-3,stateless,PowerKSimulator,10000,32,30,false,1,42,1337,3,0,312.5,0,313.566666667,0.504006932994,0.00197636265536,0.000293593645711,20,0,200000,0,3,15,2,0,0,0,0,20,0,unweighted_optimal,313,0.0016,Optimal unweighted allocation
06_final_tradeoff_unweighted,Final tradeoff unweighted,Power-4,stateless,PowerKSimulator,10000,32,30,false,1,42,1337,4,0,312.5,0,313.133333333,0.345745903642,0.00171531078301,0.000154391746571,27,0,270000,0,4,20,3,0,0,0,0,27,0,unweighted_optimal,313,0.0016,Optimal unweighted allocation
